"year"	"month"	"SST_degC"
1953	12	18.3780214560317
1954	1	20.6906163509701
1954	2	20.9874487316982
1954	3	20.6944953604005
1954	4	18.9071536060554
1954	5	17.3604867550033
1954	6	15.8380637128909
1954	7	13.8944155103631
1954	8	13.3065692630526
1954	9	13.0097368823246
1954	10	14.6236692832715
1954	11	16.8633564327801
1954	12	18.6656852690153
1955	1	20.6354286258927
1955	2	21.9835607215545
1955	3	20.959678550549
1955	4	20.2806755816249
1955	5	17.7743065337788
1955	6	16.4798634550056
1955	7	15.5044689018796
1955	8	14.6148533527479
1955	9	14.5912266589448
1955	10	16.01552839433
1955	11	17.4410643599885
1955	12	19.2746015902771
1956	1	20.5628735176839
1956	2	21.259508347655
1956	3	20.770665000124
1956	4	18.8671292814784
1956	5	17.4825873927544
1956	6	15.6657122711554
1956	7	14.1153427292834
1956	8	14.175467375454
1956	9	14.1180756677457
1956	10	14.7711598009305
1956	11	17.9872112559226
1956	12	18.5411161707175
1957	1	20.4806208858991
1957	2	21.3702364350308
1957	3	20.4991343399986
1957	4	19.3431013704451
1957	5	17.2942791167714
1957	6	15.1349050943323
1957	7	13.631965258677
1957	8	13.6068398566848
1957	9	14.0790210955263
1957	10	14.8812707731697
1957	11	16.2711022202078
1957	12	17.5435936319774
1958	1	18.758428858123
1958	2	20.7247340020963
1958	3	20.4625482283259
1958	4	19.0384228115511
1958	5	16.1761546484691
1958	6	14.687143983041
1958	7	13.5850645082917
1958	8	12.9547254758576
1958	9	14.1268915982692
1958	10	15.0381943364889
1958	11	17.4757109669461
1958	12	18.9527319668622
1959	1	20.7110693097848
1959	2	20.6837399251618
1959	3	20.2843782724448
1959	4	18.8236667439973
1959	5	16.6346711949991
1959	6	14.8401885369299
1959	7	13.1471772391868
1959	8	13.0389176123576
1959	9	13.6732238135272
1959	10	15.1466302819286
1959	11	16.4002556023779
1959	12	18.9434752398124
1960	1	20.0913975532843
1960	2	21.399505324369
1960	3	20.2775018466365
1960	4	18.4046455662128
1960	5	17.9144798291033
1960	6	15.8668918057029
1960	7	14.2410578985493
1960	8	13.1048607726737
1960	9	13.8568596463328
1960	10	15.2413133757516
1960	11	17.1737653465144
1960	12	18.1853933740921
1961	1	19.3892968463885
1961	2	20.3575504957903
1961	3	20.0484639716346
1961	4	19.1420099952028
1961	5	17.6603165521093
1961	6	15.811175124794
1961	7	13.4899406179425
1961	8	13.2132967181134
1961	9	13.700112401624
1961	10	15.1383433072365
1961	11	17.5611373337193
1961	12	19.5547718623156
1962	1	21.3365595804309
1962	2	21.7721547075996
1962	3	21.2701756235885
1962	4	19.3692846841
1962	5	18.0694638877074
1962	6	15.7967169987354
1962	7	14.7183523770944
1962	8	13.742781505358
1962	9	13.896619492994
1962	10	15.6168720160549
1962	11	17.0207207926255
1962	12	18.5980670818996
1963	1	20.2550212238014
1963	2	21.395361837023
1963	3	21.1380248250405
1963	4	19.5257674508931
1963	5	17.3090017207457
1963	6	15.8304820126406
1963	7	14.6698647592148
1963	8	13.1278703513402
1963	9	13.1585497895622
1963	10	15.074163333025
1963	11	16.4765134014066
1963	12	18.2679986430978
1964	1	19.3706952329838
1964	2	20.606336055165
1964	3	20.5109476869002
1964	4	18.8831742750313
1964	5	17.1663599648746
1964	6	15.4717617996372
1964	7	13.4498281340604
1964	8	13.1092687379355
1964	9	13.2750963910835
1964	10	14.696488869396
1964	11	16.9251561057502
1964	12	18.6615417816692
1965	1	20.2140271468669
1965	2	20.0318900222503
1965	3	19.7600948842091
1965	4	18.5739114322651
1965	5	16.4613500009061
1965	6	15.3853656805064
1965	7	13.6889161698591
1965	8	12.883757235143
1965	9	13.6629973341199
1965	10	14.6563763855138
1965	11	15.7631283034407
1965	12	17.6139447575554
1966	1	19.5240924240936
1966	2	21.1270930711913
1966	3	20.2603989414208
1966	4	18.6571338164074
1966	5	16.557531802918
1966	6	15.2647637509442
1966	7	14.1949505819111
1966	8	13.2217600114161
1966	9	13.9198935495762
1966	10	15.1669069221328
1966	11	16.2294028688314
1966	12	17.8390154638217
1967	1	19.3527107347158
1967	2	20.0826697820659
1967	3	20.3192011980129
1967	4	18.6774104566116
1967	5	16.7994409364843
1967	6	15.1891230670521
1967	7	14.1117281977687
1967	8	14.1000030101724
1967	9	14.091980513396
1967	10	15.5131085137927
1967	11	16.4279376242218
1967	12	18.7926346685544
1968	1	20.0855790391387
1968	2	20.5337809469561
1968	3	21.1864242836148
1968	4	19.7457249174558
1968	5	18.064086170088
1968	6	16.4678737894935
1968	7	14.4208147219245
1968	8	13.5512113350812
1968	9	13.5555311410378
1968	10	14.6363642232253
1968	11	15.692512699947
1968	12	18.0050194355802
1969	1	19.9833142450655
1969	2	20.5460350903839
1969	3	19.7767569928986
1969	4	18.8787663097695
1969	5	17.0321815023061
1969	6	15.5269495247147
1969	7	14.2210457362608
1969	8	13.6451891544623
1969	9	14.3167867417465
1969	10	15.2074602025411
1969	11	17.1207816040678
1969	12	18.8543461822193
1970	1	20.9557113818134
1970	2	21.2305920955378
1970	3	21.3700601164204
1970	4	19.9998881944498
1970	5	17.6768905014935
1970	6	16.0482354965724
1970	7	14.5787961969066
1970	8	13.4027510650646
1970	9	14.7850889711577
1970	10	15.7962762022092
1970	11	17.3331573703802
1970	12	19.5187147064743
1971	1	21.5118202792391
1971	2	22.361058866573
1971	3	21.2491055496372
1971	4	19.9052051006268
1971	5	18.3353523522977
1971	6	17.0894850507092
1971	7	14.4484085844632
1971	8	13.8436357505475
1971	9	14.1931873958063
1971	10	15.7047668433747
1971	11	17.1158446829747
1971	12	19.0574652214819
1972	1	20.5174714754876
1972	2	21.0257980294757
1972	3	20.3775626580788
1972	4	18.7167295067466
1972	5	16.6977050982425
1972	6	15.748670177382
1972	7	14.9175924069267
1972	8	13.6256177887
1972	9	14.3443806042853
1972	10	15.5602737420937
1972	11	17.5716282910423
1972	12	18.4446698907898
1973	1	20.1893425414009
1973	2	20.9922974934861
1973	3	20.6983743698309
1973	4	19.6949451576401
1973	5	17.7477705829029
